m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1209,909,1007.5,98.5,90.22332506,,10.44290401,,,
1215,936,1012.5,76.5,92.44444444,,1.020966472,,,
1296,994,1080,86,92.03703704,,2.010259669,,,
1269,979,1057.5,78.5,92.57683215,,0.770956259,,,
1167,911,972.5,61.5,93.67609254,,0.048937954,,,
1197,945,997.5,52.5,94.73684211,,1.643444018,,,
1212,944,1010,66,93.46534653,,0.000109689,,,
1257,986,1047.5,61.5,94.12887828,,0.454282715,,,
1296,1017,1080,63,94.16666667,,0.506649797,,,
1197,945,997.5,52.5,94.73684211,,1.643444018,,,
1278,994,1065,71,93.33333333,,0.014771963,,,
1266,984,1055,71,93.27014218,,0.034125587,,,
1206,954,1005,51,94.92537313,,2.162369763,,,
1302,1016,1085,69,93.640553,,0.034476949,,,
1212,943,1010,67,93.36633663,,0.007838741,,,
