m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1185,925,987.5,62.5,93.67088608,,0.043597762,,,
1107,869,922.5,53.5,94.20054201,,0.545318298,,,
1206,954,1005,51,94.92537313,,2.141211271,,,
1140,894,950,56,94.10526316,,0.41367775,,,
1170,916,975,59,93.94871795,,0.23681133,,,
1188,914,990,76,92.32323232,,1.296986115,,,
1233,956,1027.5,71.5,93.04136253,,0.177007653,,,
1251,987,1042.5,55.5,94.67625899,,1.474217744,,,
1128,862,940,78,91.70212766,,3.097450914,,,
1179,907,982.5,75.5,92.31552163,,1.314608265,,,
1191,935,992.5,57.5,94.20654912,,0.554226369,,,
1119,879,932.5,53.5,94.26273458,,0.641039268,,,
1209,955,1007.5,52.5,94.78908189,,1.760919925,,,
1200,941,1000,59,94.1,,0.406935158,,,
1167,886,972.5,86.5,91.10539846,,5.553972898,,,
1119,875,932.5,57.5,93.83378016,,0.138157066,,,
1152,908,960,52,94.58333333,,1.257197141,,,
1194,929,995,66,93.36683417,,0.009072779,,,
1125,873,937.5,64.5,93.12,,0.117022356,,,
1230,954,1025,71,93.07317073,,0.151254545,,,
1179,919,982.5,63.5,93.53689567,,0.005596591,,,
1104,862,920,58,93.69565217,,0.054553482,,,
1197,925,997.5,72.5,92.73182957,,0.533273433,,,
1170,921,975,54,94.46153846,,0.998906612,,,
1086,845,905,60,93.37016575,,0.008449205,,,
1071,845,892.5,47.5,94.67787115,,1.478135217,,,
1227,963,1022.5,59.5,94.1809291,,0.516736395,,,
1200,928,1000,72,92.8,,0.438356951,,,
1218,945,1015,70,93.10344828,,0.128620519,,,
1101,856,917.5,61.5,93.29700272,,0.027252258,,,
1134,878,945,67,92.91005291,,0.304739765,,,
1077,831,897.5,66.5,92.59052925,,0.759609961,,,
1155,906,962.5,56.5,94.12987013,,0.445936572,,,
1155,878,962.5,84.5,91.22077922,,5.023452964,,,
1155,906,962.5,56.5,94.12987013,,0.445936572,,,
1140,879,950,71,92.52631579,,0.875664587,,,
1107,862,922.5,60.5,93.44173442,,0.000414159,,,
1170,916,975,59,93.94871795,,0.23681133,,,
1089,845,907.5,62.5,93.11294766,,0.121897096,,,
1209,946,1007.5,61.5,93.89578164,,0.188092509,,,
1167,909,972.5,63.5,93.47043702,,6.97511E-05,,,
1146,891,955,64,93.29842932,,0.026783282,,,
1041,825,867.5,42.5,95.10086455,,2.685597424,,,
1200,943,1000,57,94.3,,0.702101036,,,
1149,875,957.5,82.5,91.38381201,,4.319219888,,,
1182,912,985,73,92.58883249,,0.762570484,,,
1149,900,957.5,57.5,93.99477807,,0.283761579,,,
1146,895,955,60,93.71727749,,0.06512305,,,
1149,889,957.5,68.5,92.845953,,0.379619014,,,
1053,821,877.5,56.5,93.56125356,,0.009834343,,,
1173,903,977.5,74.5,92.37851662,,1.174121087,,,
