m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1336,765,1113.33,348.333,68.71278058,,0.19114755,,,
1326,744,1105,361,67.33031674,,3.311191914,,,
1405,815,1170.83,355.833,69.6087391,,0.210455489,,,
1304,733,1086.67,353.667,67.45378082,,2.877108021,,,
1277,738,1064.17,326.167,69.34982193,,0.039934869,,,
1316,760,1096.67,336.667,69.30070121,,0.022715431,,,
1375,775,1145.83,370.833,67.6365604,,2.290453483,,,
1328,761,1106.67,345.667,68.76485312,,0.148326428,,,
1366,780,1138.33,358.333,68.52143052,,0.395080512,,,
1272,723,1060,337,68.20754717,,0.888188724,,,
1306,771,1088.33,317.333,70.84248344,,2.864551572,,,
1337,780,1114.17,334.167,70.00726999,,0.734937855,,,
1375,790,1145.83,355.833,68.94565511,,0.041750628,,,
1372,790,1143.33,353.333,69.09641136,,0.002870116,,,
1281,721,1067.5,346.5,67.54098361,,2.588884905,,,
1383,800,1152.5,352.5,69.4143167,,0.069871344,,,
1340,763,1116.67,353.667,68.32815424,,0.675405495,,,
1328,764,1106.67,342.667,69.03593664,,0.013006988,,,
1361,773,1134.17,361.167,68.15556751,,0.988865791,,,
1275,758,1062.5,304.5,71.34117647,,4.80132085,,,
1306,755,1088.33,333.333,69.37234111,,0.04944232,,,
1285,739,1070.83,331.833,69.01188797,,0.019070739,,,
1337,771,1114.17,343.167,69.19949379,,0.002451138,,,
1318,759,1098.33,339.333,69.10491382,,0.002031395,,,
1308,758,1090,332,69.5412844,,0.153115364,,,
1387,819,1155.83,336.833,70.85817118,,2.917900655,,,
1344,776,1120,344,69.28571429,,0.018422488,,,
1308,751,1090,339,68.89908257,,0.06295194,,,
1364,798,1136.67,338.667,70.20507271,,1.113210461,,,
1281,754,1067.5,313.5,70.6323185,,2.197313142,,,
1307,762,1089.17,327.167,69.96153034,,0.65860613,,,
1278,748,1065,317,70.23474178,,1.176697671,,,
1385,802,1154.17,352.167,69.48716394,,0.113689756,,,
1332,788,1110,322,70.99099099,,3.389303722,,,
1331,785,1109.17,324.167,70.77364155,,2.636261183,,,
1328,764,1106.67,342.667,69.03593664,,0.013006988,,,
1340,762,1116.67,354.667,68.23860227,,0.830618147,,,
1339,786,1115.83,329.833,70.44083776,,1.666301318,,,
1295,761,1079.17,318.167,70.5171567,,1.86915896,,,
1330,768,1108.33,340.333,69.29344148,,0.020579814,,,
1324,766,1103.33,337.333,69.42619162,,0.076290196,,,
1267,735,1055.83,320.833,69.61347944,,0.214827265,,,
1345,788,1120.83,332.833,70.3050418,,1.334156626,,,
1423,812,1185.83,373.833,68.47524519,,0.455273572,,,
1398,782,1165,383,67.12446352,,4.10273654,,,
1350,778,1125,347,69.15555556,,3.10331E-05,,,
1250,696,1041.67,345.667,66.81578619,,5.448483247,,,
1288,748,1073.33,325.333,69.68965742,,0.291246517,,,
1330,780,1108.33,328.333,70.37615151,,1.503484745,,,
1288,740,1073.33,333.333,68.94431349,,0.042300695,,,
1330,771,1108.33,337.333,69.56411899,,0.171507111,,,
1398,816,1165,349,70.04291845,,0.797330476,,,
1415,793,1179.17,386.167,67.25069328,,3.607308338,,,
1372,816,1143.33,327.333,71.37047047,,4.930556512,,,
1296,734,1080,346,67.96296296,,1.409020889,,,
1329,757,1107.5,350.5,68.35214447,,0.636549225,,,
1286,723,1071.67,348.667,67.46479793,,2.839854847,,,
1400,832,1166.67,334.667,71.31408196,,4.68331643,,,
1361,787,1134.17,347.167,69.38995036,,0.05758346,,,
1367,778,1139.17,361.167,68.29533783,,0.730421471,,,
1309,746,1090.83,344.833,68.38829148,,0.580176737,,,
1347,762,1122.5,360.5,67.88418708,,1.602243912,,,
1380,802,1150,348,69.73913043,,0.347092555,,,
1337,777,1114.17,337.167,69.73801126,,0.345775088,,,
1346,788,1121.67,333.667,70.25239152,,1.21530054,,,
1294,745,1078.33,333.333,69.08831248,,0.003803477,,,
