m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1087,884,905.833,21.8333,97.58973232,,1.484569846,,,
1210,960,1008.33,48.3333,95.2069263,,1.355773253,,,
1065,867,887.5,20.5,97.69014085,,1.739333077,,,
1181,938,984.167,46.1667,95.30902784,,1.128428669,,,
1127,916,939.167,23.1667,97.53323956,,1.350096412,,,
1079,876,899.167,23.1667,97.4235042,,1.107127216,,,
1118,902,931.667,29.6667,96.81570776,,0.197495527,,,
1167,936,972.5,36.5,96.24678663,,0.015504343,,,
1170,932,975,43,95.58974359,,0.610835221,,,
1072,869,893.333,24.3333,97.2761557,,0.818758282,,,
1077,862,897.5,35.5,96.04456825,,0.106755646,,,
1049,824,874.167,50.1667,94.2611652,,4.452681827,,,
1013,800,844.167,44.1667,94.76797837,,2.570650081,,,
1057,858,880.833,22.8333,97.40779467,,1.074314831,,,
1064,864,886.667,22.6667,97.44357239,,1.149761494,,,
1150,928,958.333,30.3333,96.83481629,,0.214844505,,,
1050,850,875,25,97.14285714,,0.595295687,,,
1039,829,865.833,36.8333,95.74594639,,0.391070978,,,
1146,925,955,30,96.85863874,,0.237496059,,,
1082,886,901.667,15.6667,98.26244057,,3.576401038,,,
1177,945,980.833,35.8333,96.34667675,,0.000606455,,,
1005,802,837.5,35.5,95.76119403,,0.372233041,,,
1290,1031,1075,44,95.90697674,,0.215598937,,,
1154,926,961.667,35.6667,96.2911278,,0.006428074,,,
1027,824,855.833,31.8333,96.28046593,,0.008251386,,,
1108,879,923.333,44.3333,95.19859032,,1.375255184,,,
1086,876,905,29,96.79558011,,0.180011007,,,
1160,934,966.667,32.6667,96.62065634,,0.062177052,,,
1099,876,915.833,39.8333,95.65062626,,0.519375064,,,
1048,826,873.333,47.3333,94.58018877,,3.208090432,,,
1100,873,916.667,43.6667,95.236329,,1.288166128,,,
1043,849,869.167,20.1667,97.67973243,,1.711987399,,,
1172,937,976.667,39.6667,95.93853381,,0.187289233,,,
1066,878,888.333,10.3333,98.83681007,,6.078724768,,,
1068,849,890,41,95.39325843,,0.956571324,,,
1035,830,862.5,32.5,96.23188406,,0.019437661,,,
1110,894,925,31,96.64864865,,0.07692057,,,
1107,888,922.5,34.5,96.2601626,,0.012352204,,,
1095,883,912.5,29.5,96.76712329,,0.156673645,,,
1085,882,904.167,22.1667,97.54835113,,1.385442146,,,
1089,887,907.5,20.5,97.74104683,,1.876197973,,,
1046,838,871.667,33.6667,96.13763054,,0.054602851,,,
1065,858,887.5,29.5,96.67605634,,0.092874554,,,
1026,815,855,40,95.32163743,,1.101797962,,,
1018,808,848.333,40.3333,95.24561699,,1.267169145,,,
1101,880,917.5,37.5,95.91280654,,0.210219068,,,
1108,887,923.333,36.3333,96.06501663,,0.093811383,,,
1097,869,914.167,45.1667,95.05921785,,1.721567637,,,
1088,856,906.667,50.6667,94.41173,,3.839926634,,,
1123,893,935.833,42.8333,95.42300816,,0.899263227,,,
1113,894,927.5,33.5,96.38814016,,0.000283488,,,
1119,904,932.5,28.5,96.94369973,,0.327637939,,,
