m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1041,726,867.5,141.5,83.68876081,,1.055830883,,,
1129,779,940.833,161.833,82.79896645,,0.018972847,,,
1198,819,998.333,179.333,82.03675527,,0.389961805,,,
1122,796,935,139,85.13368984,,6.113084905,,,
1080,759,900,141,84.33333333,,2.795947984,,,
1067,725,889.167,164.167,81.53698911,,1.263905179,,,
1181,820,984.167,164.167,83.31919278,,0.43292227,,,
1012,706,843.333,137.333,83.71544811,,1.111387439,,,
1167,825,972.5,147.5,84.83290488,,4.716195735,,,
1149,791,957.5,166.5,82.61096606,,0.00252591,,,
1106,758,921.667,163.667,82.2422849,,0.175510377,,,
1070,723,891.667,168.667,81.08408184,,2.487378946,,,
1133,768,944.167,176.167,81.34154233,,1.741560995,,,
1069,766,890.833,124.833,85.98693582,,11.06035587,,,
1051,743,875.833,132.833,84.8335242,,4.718886027,,,
1035,704,862.5,158.5,81.62318841,,1.077518912,,,
1156,808,963.333,155.333,83.87546155,,1.474371634,,,
1108,753,923.333,170.333,81.55237601,,1.229544948,,,
1076,721,896.667,175.667,80.40889204,,5.073001459,,,
1077,724,897.5,173.5,80.66852368,,3.970856531,,,
1085,755,904.167,149.167,83.50227336,,0.707363207,,,
1066,711,888.333,177.333,80.03755349,,6.883649542,,,
1055,743,879.167,136.167,84.5118163,,3.424690043,,,
1031,706,859.167,153.167,82.17261603,,0.238738223,,,
1123,777,935.833,158.833,83.0276342,,0.134256078,,,
1033,711,860.833,149.833,82.59441727,,0.004463205,,,
1082,735,901.667,166.667,81.51568151,,1.312268719,,,
1023,709,852.5,143.5,83.16715543,,0.255966111,,,
1034,701,861.667,160.667,81.35393371,,1.709009178,,,
1107,740,922.5,182.5,80.21680217,,5.975200488,,,
1170,813,975,162,83.38461538,,0.523294386,,,
1037,707,864.167,157.167,81.81289033,,0.719670843,,,
1063,721,885.833,164.833,81.39231661,,1.610127207,,,
1065,749,887.5,138.5,84.3943662,,3.003780177,,,
1044,727,870,143,83.56321839,,0.813592997,,,
1006,691,838.333,147.333,82.42548009,,0.055575422,,,
1075,757,895.833,138.833,84.50235702,,3.389769008,,,
1020,686,850,164,80.70588235,,3.823362873,,,
1048,701,873.333,172.333,80.26720621,,5.73132353,,,
1086,749,905,156,82.76243094,,0.010242745,,,
1039,731,865.833,134.833,84.42736648,,3.119257523,,,
1110,746,925,179,80.64864865,,4.050461517,,,
1131,810,942.5,132.5,85.94164456,,10.76115585,,,
1013,667,844.167,177.167,79.01280197,,13.31098689,,,
1090,755,908.333,153.333,83.11929656,,0.209830019,,,
1049,724,874.167,150.167,82.8217034,,0.025753482,,,
1136,784,946.667,162.667,82.81687225,,0.024226224,,,
1133,779,944.167,165.167,82.50659047,,0.023911682,,,
1092,778,910,132,85.49450549,,8.02748125,,,
1090,756,908.333,152.333,83.22938834,,0.322810162,,,
1156,815,963.333,148.333,84.6021054,,3.767018702,,,
1112,780,926.667,146.667,84.17263159,,2.28435143,,,
1124,777,936.667,159.667,82.95370713,,0.085546097,,,
1133,767,944.167,177.167,81.23562887,,2.032322882,,,
1088,754,906.667,152.667,83.16173413,,0.250509901,,,
1025,694,854.167,160.167,81.24874878,,1.995087629,,,
1174,809,978.333,169.333,82.69168064,,0.000927577,,,
1127,767,939.167,172.167,81.66811653,,0.986263414,,,
1060,730,883.333,153.333,82.64154062,,0.000387455,,,
1066,732,888.333,156.333,82.40153186,,0.067440263,,,
1084,771,903.333,132.333,85.350585,,7.232659954,,,
1035,722,862.5,140.5,83.71014493,,1.100234084,,,
1060,736,883.333,147.333,83.32078616,,0.435021595,,,
1126,795,938.333,143.333,84.72471926,,4.258010677,,,
1154,812,961.667,149.667,84.4367125,,3.152357675,,,
1078,725,898.333,173.333,80.70503922,,3.8266608,,,
1112,768,926.667,158.667,82.87766803,,0.046847806,,,
1061,752,884.167,132.167,85.05180582,,5.714879115,,,
1120,756,933.333,177.333,81.00002893,,2.759570693,,,
1081,737,900.833,163.833,81.81316626,,0.719202764,,,
1085,735,904.167,169.167,81.29029261,,1.879454214,,,
1201,816,1000.83,184.833,81.53232817,,1.274406907,,,
1103,776,919.167,143.167,84.42426675,,3.108318027,,,
1178,804,981.667,177.667,81.9015002,,0.577180992,,,
1208,833,1006.67,173.667,82.74807037,,0.007542207,,,
1090,753,908.333,155.333,82.89911299,,0.056590939,,,
1053,730,877.5,147.5,83.19088319,,0.280538339,,,
1054,748,878.333,130.333,85.16132264,,6.250490769,,,
1090,755,908.333,153.333,83.11929656,,0.209830019,,,
1097,770,914.167,144.167,84.2296867,,2.460073699,,,
1148,808,956.667,148.667,84.45990089,,3.235236774,,,
1135,778,945.833,167.833,82.2555356,,0.164583478,,,
1174,827,978.333,151.333,84.53154499,,3.498098755,,,
1065,734,887.5,153.5,82.70422535,,0.001849074,,,
1004,702,836.667,134.667,83.90434904,,1.545358652,,,
1124,782,936.667,154.667,83.48751477,,0.682755632,,,
1010,694,841.667,147.667,82.45541289,,0.042358415,,,
1086,755,905,150,83.42541436,,0.583986165,,,
1005,700,837.5,137.5,83.58208955,,0.847992463,,,
1036,712,863.333,151.333,82.47107431,,0.03615709,,,
1059,733,882.5,149.5,83.05949008,,0.158615484,,,
1099,737,915.833,178.833,80.47318671,,4.787509347,,,
1050,714,875,161,81.6,,1.126197418,,,
1013,690,844.167,154.167,81.73738135,,0.853486152,,,
1153,799,960.833,161.833,83.15701064,,0.245803902,,,
1030,697,858.333,161.333,81.20391503,,2.12375086,,,
